subject_id,n,mean_rating,std_rating,min_rating,max_rating,global_high_rate,rating_range,global_entropy,sr_valid,sr_high_rate,sr_retention,modality,task
56,32,4.84375,2.515877003506768,1,9,0.5,8,1.0,26,0.5384615384615384,0.8125,EMG,arousal
57,32,4.40625,2.18291570330646,1,8,0.5,7,1.0,32,0.5,1.0,EMG,arousal
58,32,3.21875,2.379134770891409,1,8,0.28125,7,0.8571484374283715,24,0.5,0.75,EMG,arousal
59,32,5.53125,2.199477577267662,2,8,0.71875,6,0.8571484374283715,27,0.5185185185185185,0.84375,EMG,arousal
60,32,5.53125,3.252635407907593,1,9,0.625,8,0.954434002924965,25,0.56,0.78125,EMG,arousal
61,32,3.4375,2.9505330300286965,1,9,0.28125,8,0.8571484374283715,26,0.46153846153846156,0.8125,EMG,arousal
62,32,3.9375,3.151420570616246,1,9,0.34375,8,0.9283620723948676,24,0.4583333333333333,0.75,EMG,arousal
63,32,4.03125,3.23772495793355,1,9,0.375,8,0.954434002924965,24,0.4583333333333333,0.75,EMG,arousal
64,32,4.4375,2.368305505576072,1,9,0.5,8,1.0,22,0.5,0.6875,EMG,arousal
65,32,3.28125,3.123628731397652,1,9,0.3125,8,0.8960382325345574,31,0.41935483870967744,0.96875,EMG,arousal
